"school_code","district_code","district","school","subject","high_needs_f_r_ell_or_swd_","total_numberwith_scored_tests","count","_","count_1","_1","count_2","_2","count_3","_3","count_4","_4","averagescore"
"0176211","0170011","Bristol School District","Bristol Eastern High School","ELA","N","182","11","6.0","23","12.6","128","70.3","20","11.0","148","81.3","535"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Math","Y","103","35","34.0","49","47.6","*","*","*","*","19","18.4","457"
"0176211","0170011","Bristol School District","Bristol Eastern High School","Math","N","182","*","*","87","47.8","64","35.2","*","*","*","*","501"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"0186111","0180011","Brookfield School District","Brookfield High School","ELA","Y","40","*","*","11","27.5","18","45.0","*","*","*","*","488"
"0186111","0180011","Brookfield School District","Brookfield High School","ELA","N","182","0","0.0","*","*","114","62.6","*","*","*","*","583"
"0186111","0180011","Brookfield School District","Brookfield High School","Math","Y","40","*","*","20","50.0","6","15.0","*","*","*","*","462"
"0186111","0180011","Brookfield School District","Brookfield High School","Math","N","182","*","*","60","33.0","90","49.5","*","*","*","*","560"
