"school_code","district_code","district","school","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","total"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","38","147","136","143","174","0","0","0","0","0","0","0","0","0","638"
"0270111","0270011","Clinton School District","Abraham Pierson School","0","0","0","0","0","146","150","0","0","0","0","0","0","0","296"
"0275111","0270011","Clinton School District","Jared Eliot School","0","0","0","0","0","0","0","161","154","147","0","0","0","0","462"
"0276111","0270011","Clinton School District","The Morgan School","0","0","0","0","0","0","0","0","0","0","139","138","146","135","558"
"0280411","0280011","Colchester School District","Colchester Elementary School","59","158","164","170","0","0","0","0","0","0","0","0","0","0","551"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","0","0","0","0","196","220","198","0","0","0","0","0","0","0","614"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","0","0","0","0","0","0","0","197","230","241","0","0","0","0","668"
"0286111","0280011","Colchester School District","Bacon Academy","0","0","0","0","0","0","0","0","0","0","205","208","224","263","900"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","*","*","14","12","13","15","17","15","0","0","0","0","0","0","99"
"0300111","0300011","Columbia School District","Horace W. Porter School","28","43","39","37","55","42","49","56","54","64","0","0","0","0","467"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","*","*","*","*","*","6","8","8","10","*","*","0","0","0","51"
"2438014","2430014","Cooperative Educational Services","School Readiness","54","0","0","0","0","0","0","0","0","0","0","0","0","0","54"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","80","40","60","60","42","44","35","35","44","31","0","0","0","0","471"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","0","0","*","*","10","12","11","19","16","20","13","9","14","9","140"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","0","0","0","0","0","0","0","*","*","8","7","20","17","39","94"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","0","0","0","0","0","0","0","0","0","0","0","0","0","12","12"
"0328011","0320011","Coventry School District","Coventry Early Intervention Services","20","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"0320211","0320011","Coventry School District","Coventry Grammar School","0","128","127","122","0","0","0","0","0","0","0","0","0","0","377"
"0320411","0320011","Coventry School District","George Hersey Robertson School","0","0","0","0","124","123","130","0","0","0","0","0","0","0","377"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","0","0","0","0","0","0","0","139","115","139","0","0","0","0","393"
"0326111","0320011","Coventry School District","Coventry High School","0","0","0","0","0","0","0","0","0","0","134","126","118","140","518"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","26","144","149","149","0","0","0","0","0","0","0","0","0","0","468"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","0","0","0","0","174","155","148","0","0","0","0","0","0","0","477"
"0335111","0330011","Cromwell School District","Cromwell Middle School","0","0","0","0","0","0","0","138","166","150","0","0","0","0","454"
"0336111","0330011","Cromwell School District","Cromwell High School","0","0","0","0","0","0","0","0","0","0","150","137","130","132","549"
"0340111","0340011","Danbury School District","DPS Early Childhood Center","139","0","0","0","0","0","0","0","0","0","0","0","0","0","139"
"0341111","0340011","Danbury School District","Great Plain School","19","64","65","55","42","48","63","0","0","0","0","0","0","0","356"
"0340211","0340011","Danbury School District","Hayestown Avenue School","39","83","73","64","63","69","78","0","0","0","0","0","0","0","469"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","*","107","101","*","109","0","0","0","0","0","0","0","0","0","412"
"0340611","0340011","Danbury School District","Morris Street School","21","86","94","68","63","66","70","0","0","0","0","0","0","0","468"
"0341511","0340011","Danbury School District","Pembroke School","*","*","60","58","70","60","73","0","0","0","0","0","0","0","376"
"0341211","0340011","Danbury School District","Shelter Rock School","*","*","69","80","66","72","69","0","0","0","0","0","0","0","416"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","0","82","74","80","60","70","69","0","0","0","0","0","0","0","435"
"0341311","0340011","Danbury School District","King Street Primary School","0","97","104","103","113","0","0","0","0","0","0","0","0","0","417"
"0340811","0340011","Danbury School District","Park Avenue School","0","67","95","77","63","68","63","0","0","0","0","0","0","0","433"
"0341011","0340011","Danbury School District","South Street School","0","65","58","69","54","65","64","0","0","0","0","0","0","0","375"
"0341611","0340011","Danbury School District","Stadley Rough School","0","52","80","72","80","65","83","0","0","0","0","0","0","0","432"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","0","66","66","72","75","73","71","0","0","0","0","0","0","0","423"
"0341711","0340011","Danbury School District","King Street Intermediate School","0","0","0","0","0","173","197","0","0","0","0","0","0","0","370"
"0345111","0340011","Danbury School District","Broadview Middle School","0","0","0","0","0","0","0","356","354","382","0","0","0","0","1092"
"0345211","0340011","Danbury School District","Rogers Park Middle School","0","0","0","0","0","0","0","417","414","369","0","0","0","0","1200"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","0","0","0","0","0","0","0","0","0","0","14","26","19","24","83"
"0346111","0340011","Danbury School District","Danbury High School","0","0","0","0","0","0","0","0","0","0","853","685","658","682","2878"
"0350511","0350011","Darien School District","Royle Elementary School","31","80","69","72","65","67","68","0","0","0","0","0","0","0","452"
"0350611","0350011","Darien School District","Tokeneke Elementary School","48","73","74","82","65","79","71","0","0","0","0","0","0","0","492"
"0350211","0350011","Darien School District","Hindley Elementary School","0","82","90","88","96","114","95","0","0","0","0","0","0","0","565"
"0350711","0350011","Darien School District","Holmes Elementary School","0","91","80","75","69","78","61","0","0","0","0","0","0","0","454"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","0","72","70","71","76","92","77","0","0","0","0","0","0","0","458"
"0355111","0350011","Darien School District","Middlesex Middle School","0","0","0","0","0","0","0","364","381","383","0","0","0","0","1128"
"0356111","0350011","Darien School District","Darien High School","0","0","0","0","0","0","0","0","0","0","346","345","328","335","1354"
"0370611","0370011","Derby School District","Bradley School","*","69","61","65","67","58","*","0","0","0","0","0","0","0","376"
"0370411","0370011","Derby School District","Irving School","20","53","70","62","52","66","55","0","0","0","0","0","0","0","378"
"0375011","0370011","Derby School District","Derby Middle School","0","0","0","0","0","0","0","108","123","133","0","0","0","0","364"
"0376111","0370011","Derby School District","Derby High School","0","0","0","0","0","0","0","0","0","0","97","98","87","99","381"
"0400111","0400011","East Granby School District","Allgrove School","18","58","71","47","0","0","0","0","0","0","0","0","0","0","194"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","0","0","0","0","73","58","76","0","0","0","0","0","0","0","207"
"0405111","0400011","East Granby School District","East Granby Middle School","0","0","0","0","0","0","0","61","77","70","0","0","0","0","208"
"0406111","0400011","East Granby School District","East Granby High School","0","0","0","0","0","0","0","0","0","0","58","75","63","63","259"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","26","80","77","73","70","0","0","0","0","0","0","0","0","0","326"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","0","0","0","0","0","84","107","103","93","101","0","0","0","0","488"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","0","0","0","0","0","0","0","0","0","0","78","86","113","95","372"
"0420111","0420011","East Hampton School District","Memorial School","29","139","159","163","136","0","0","0","0","0","0","0","0","0","626"
"0420311","0420011","East Hampton School District","Center School","0","0","0","0","0","153","142","0","0","0","0","0","0","0","295"
"0425111","0420011","East Hampton School District","East Hampton Middle School","0","0","0","0","0","0","0","140","155","128","0","0","0","0","423"
"0426111","0420011","East Hampton School District","East Hampton High School","0","0","0","0","0","0","0","0","0","0","132","146","123","119","520"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","0","0","0","0","0","0","0","0","0","0","*","*","*","*","7"
"0430511","0430011","East Hartford School District","Hockanum School","62","65","39","43","42","42","29","0","0","0","0","0","0","0","322"
"0438011","0430011","East Hartford School District","Willowbrook Early Childhood","231","0","0","0","0","0","0","0","0","0","0","0","0","0","231"
"0430911","0430011","East Hartford School District","Anna E. Norris School","0","51","55","47","37","42","42","22","0","0","0","0","0","0","296"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","0","78","60","66","65","46","49","0","0","0","0","0","0","0","364"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","0","67","49","74","61","49","58","44","0","0","0","0","0","0","402"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","0","74","88","83","101","74","79","34","0","0","0","0","0","0","533"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","0","64","62","63","63","44","27","20","0","0","0","0","0","0","343"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","0","58","46","36","58","42","46","15","0","0","0","0","0","0","301"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","0","63","74","61","63","69","86","82","0","0","0","0","0","0","498"
"0431211","0430011","East Hartford School District","Silver Lane School","0","63","62","42","51","46","22","18","0","0","0","0","0","0","304"
"0439011","0430011","East Hartford School District","Woodland School","0","0","*","11","*","11","14","15","11","20","22","30","27","25","199"
"0432411","0430011","East Hartford School District","Sunset Ridge Middle School","0","0","0","0","0","64","99","90","0","0","0","0","0","0","253"
"0435111","0430011","East Hartford School District","East Hartford Middle School","0","0","0","0","0","0","0","149","511","441","0","0","0","0","1101"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","0","0","0","0","0","0","0","0","0","0","53","51","48","45","197"
"0436211","0430011","East Hartford School District","East Hartford High School","0","0","0","0","0","0","0","0","0","0","483","435","429","335","1682"
"0436411","0430011","East Hartford School District","Stevens Alternate High School","0","0","0","0","0","0","0","0","0","0","*","*","35","37","105"
"0441411","0440011","East Haven School District","D. C. Moore School","35","60","55","65","0","0","0","0","0","0","0","0","0","0","215"
"0440111","0440011","East Haven School District","Deer Run School","44","101","88","96","0","0","0","0","0","0","0","0","0","0","329"
"0441811","0440011","East Haven School District","Overbrook Elementary School","0","64","62","67","0","0","0","0","0","0","0","0","0","0","193"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","0","0","0","0","45","48","44","49","41","42","0","0","0","0","269"
