"school_code","district_code","district","school","subject","ell","total_numberof_students","total_numbertested","smarter_balancedparticipationrate","total_number_with_scored_tests","level_1_not_met_count","_","level_2_approaching_count","_1","level_3_met_count","_2","level_4_exceeded_count","_3","level_3_4_met_or_exceeded_count","_4"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0150111","0150011","Bridgeport School District","Barnum School","ELA","N","309","306","99.0","306","167","54.6","*","*","*","*","*","*","*","*"
"0150111","0150011","Bridgeport School District","Barnum School","ELA","Y","42","41","97.6","41","35","85.4","*","*","*","*","0","0.0","*","*"
"0150111","0150011","Bridgeport School District","Barnum School","Math","N","310","308","99.4","308","213","69.2","*","*","16","5.2","*","*","*","*"
"0150111","0150011","Bridgeport School District","Barnum School","Math","Y","42","42","100.0","42","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0156111","0150011","Bridgeport School District","Bassick High School","ELA","N","204","188","92.2","188","101","53.7","53","28.2","*","*","*","*","34","18.1"
"0156111","0150011","Bridgeport School District","Bassick High School","ELA","Y","35","34","97.1","34","24","70.6","10","29.4","0","0.0","0","0.0","0","0.0"
"0156111","0150011","Bridgeport School District","Bassick High School","Math","N","205","188","91.7","188","169","89.9","*","*","*","*","*","*","*","*"
"0156111","0150011","Bridgeport School District","Bassick High School","Math","Y","35","33","94.3","33","*","*","*","*","0","0.0","0","0.0","0","0.0"
"0150211","0150011","Bridgeport School District","Beardsley School","ELA","N","155","154","99.4","154","*","*","*","*","*","*","*","*","*","*"
"0150211","0150011","Bridgeport School District","Beardsley School","ELA","Y","15","15","*","15","*","*","*","*","*","*","*","*","*","*"
"0150211","0150011","Bridgeport School District","Beardsley School","Math","N","153","152","99.3","152","*","*","*","*","*","*","*","*","*","*"
"0150211","0150011","Bridgeport School District","Beardsley School","Math","Y","15","15","*","15","*","*","*","*","*","*","*","*","*","*"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"0150311","0150011","Bridgeport School District","Black Rock School","ELA","N","190","189","99.5","189","51","27.0","57","30.2","*","*","22","11.6","*","*"
"0150311","0150011","Bridgeport School District","Black Rock School","ELA","Y","41","40","97.6","40","24","60.0","*","*","*","*","0","0.0","*","*"
"0150311","0150011","Bridgeport School District","Black Rock School","Math","N","190","190","100.0","190","94","49.5","63","33.2","30","15.8","*","*","*","*"
"0150311","0150011","Bridgeport School District","Black Rock School","Math","Y","41","41","100.0","41","35","85.4","6","14.6","0","0.0","0","0.0","0","0.0"
"0154011","0150011","Bridgeport School District","Blackham School","ELA","N","631","611","96.8","611","293","48.0","191","31.3","106","17.3","21","3.4","127","20.8"
"0154011","0150011","Bridgeport School District","Blackham School","ELA","Y","101","91","90.1","91","70","76.9","15","16.5","6","6.6","0","0.0","6","6.6"
"0154011","0150011","Bridgeport School District","Blackham School","Math","N","629","623","99.0","623","448","71.9","140","22.5","29","4.7","6","1.0","35","5.6"
