"school_code","district_code","district","school","2010_11","2011_12","2012_13","2013_14","2014_15","2015_16"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","0","0","184","327","328","337"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","*","*","6","*","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","244","311","357","415","465","467"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","46","47","58","53","57","57"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","9","8","11","8","15","12"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","0","278","335","361","0","0"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","711","719","716","722","736","726"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","337","350","340","342","357","354"
"2410514","2410014","Capitol Region Education Council","Museum Academy","0","271","311","405","459","468"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","293","389","377","404","519","455"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","255","284","356","392","468","455"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","52","58","64","64","64","66"
"2419314","2410014","Capitol Region Education Council","River Street School","151","147","151","145","151","140"
"2419714","2410014","Capitol Region Education Council","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","0","0","0","8","0","0"
