district,district_code,school,school_code,subject,gender,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year
Berlin School District,0070011,Berlin High School,0076111,ELA,M,135,131,97.0,113,45,39.8,33,29.2,24,21.2,11,9.7,35,31.0,2014-15
Berlin School District,0070011,Berlin High School,0076111,Math,F,113,108,95.6,101,27,26.7,36,35.6,27,26.7,11,10.9,38,37.6,2014-15
Berlin School District,0070011,Berlin High School,0076111,Math,M,135,130,96.3,120,40,33.3,35,29.2,25,20.8,20,16.7,45,37.5,2014-15
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,ELA,F,308,308,100.0,308,17,5.5,66,21.4,144,46.8,81,26.3,225,73.1,2014-15
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,ELA,M,393,393,100.0,393,58,14.8,108,27.5,168,42.7,59,15.0,227,57.8,2014-15
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,Math,F,307,307,100.0,307,56,18.2,109,35.5,89,29.0,53,17.3,142,46.3,2014-15
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,Math,M,393,392,99.7,392,83,21.2,132,33.7,91,23.2,86,21.9,177,45.2,2014-15
Berlin School District,0070011,Emma Hart Willard School,0070411,ELA,F,96,96,100.0,96,*,*,*,*,40,41.7,34,35.4,74,77.1,2014-15
Berlin School District,0070011,Emma Hart Willard School,0070411,ELA,M,132,132,100.0,132,*,*,*,*,43,32.6,39,29.5,82,62.1,2014-15
Berlin School District,0070011,Emma Hart Willard School,0070411,Math,F,96,96,100.0,96,12,12.5,22,22.9,45,46.9,17,17.7,62,64.6,2014-15
Berlin School District,0070011,Emma Hart Willard School,0070411,Math,M,132,132,100.0,132,23,17.4,33,25.0,37,28.0,39,29.5,76,57.6,2014-15
Berlin School District,0070011,Mary E. Griswold School,0070511,ELA,F,136,136,100.0,136,15,11.0,23,16.9,52,38.2,46,33.8,98,72.1,2014-15
Berlin School District,0070011,Mary E. Griswold School,0070511,ELA,M,162,162,100.0,160,23,14.4,36,22.5,64,40.0,37,23.1,101,63.1,2014-15
Berlin School District,0070011,Mary E. Griswold School,0070511,Math,F,136,136,100.0,136,19,14.0,51,37.5,46,33.8,20,14.7,66,48.5,2014-15
Berlin School District,0070011,Mary E. Griswold School,0070511,Math,M,162,162,100.0,160,25,15.6,44,27.5,61,38.1,30,18.8,91,56.9,2014-15
