"",,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","N/A","N/A","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",15,2.8,"*","*","*","*",23,5.1,11,2.4
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",19,11.9,6,3.6,16,9.1,15,8.7,13,7.4
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",175,23.6,104,13.6,203,25.3,131,16.8,158,21.1
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",261,30.2,164,20.2,77,9.8,52,6.6,83,10.8
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",178,29.4,130,20.7,91,14.5,138,22.5,129,21.0
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",194,37.6,152,31.1,173,32.3,130,23.5,111,20.8
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",141,24.7,132,23.6,100,18.6,84,16.8,75,15.4
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",188,35.2,115,21.1,118,21.1,115,20.4,80,14.2
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",139,18.1,166,21.8,73,9.3,97,12.7,67,8.9
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",80,15.0,84,16.1,56,9.9,66,10.8,48,8.0
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",187,29.1,137,21.6,168,26.5,117,18.3,102,15.8
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",253,38.1,215,31.4,101,15.2,128,19.9,119,18.7
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""","N/A","N/A","N/A","N/A","N/A","N/A",34,25.0,54,22.5
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",126,19.4,124,18.4,86,12.8,74,11.1,76,11.7
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",166,25.0,103,15.8,83,13.0,98,14.9,75,11.6
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",227,25.7,106,12.7,87,10.6,111,13.7,115,14.6
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",197,32.6,183,28.5,138,21.5,116,18.9,77,13.3
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",86,11.5,59,7.9,55,7.4,84,11.5,87,11.5
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",126,22.3,105,18.9,108,19.5,84,15.9,86,17.4
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","N/A","N/A","N/A","N/A","*","*","N/A","N/A","*","*"
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",17,3.7,14,3.0,8,1.7,15,3.3,"*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",44,25.0,36,20.6,30,17.8,45,24.7,45,26.3
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",28,6.3,18,4.4,26,6.6,16,4.1,12,3.0
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","N/A","N/A","*","*","N/A","N/A","*","*","N/A","N/A"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",62,11.7,45,8.9,25,4.8,22,4.5,23,4.9
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",13,3.3,14,3.5,25,6.5,16,4.4,6,1.7
"Coventry School District","=""0320011""","Hale Early Education Center","=""0320311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",110,20.1,83,15.5,66,11.9,55,9.7,60,10.4
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",70,13.9,55,10.8,64,13.7,46,10.1,43,9.6
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","*","*","*","*","*","*",9,1.9,12,2.5
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","*","*","*","*","*","*",28,5.8,15,3.1
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",30,36.1,29,33.3,38,40.4,32,32.7,34,33.3
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",70,6.3,64,5.8,53,4.8,64,5.9,56,5.4
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",682,23.4,764,26.5,600,20.7,775,26.3,555,18.7
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",16,4.2,"N/A","N/A","*","*","*","*","N/A","N/A"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",13,3.3,"N/A","N/A","*","*",10,2.1,"N/A","N/A"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",9,2.4,"N/A","N/A","*","*",15,4.0,"*","*"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",8,1.9,"*","*","*","*",11,2.8,"N/A","N/A"
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","*","*","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",13,3.2,10,2.3,"*","*","N/A","N/A","N/A","N/A"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",9,2.1,7,1.6,8,1.8,"*","*",6,1.0
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",7,1.9,"N/A","N/A","*","*","*","*","N/A","N/A"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",212,18.7,236,19.7,198,16.1,136,14.3,111,11.3
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",6,1.4,"*","*","N/A","N/A","N/A","N/A","*","*"
"Danbury School District","=""0340011""","South Street School","=""0341011""","N/A","N/A","*","*","N/A","N/A",8,2.2,"*","*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","*","*","N/A","N/A",20,4.5,6,1.3,"*","*"
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""","N/A","N/A","N/A","N/A","N/A","N/A",47,11.8,47,9.5
"Darien School District","=""0350011""","Darien High School","=""0356111""",38,2.9,30,2.3,64,4.8,41,3.0,28,2.1
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","N/A","N/A","*","*","*","*","*","*","N/A","N/A"
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",7,0.6,"*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","*","*","*","*","N/A","N/A","*","*",6,1.3
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","*","*","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","*","*","*","*","*","*","*","*",9,2.9
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Mental Health Center","=""3370415""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""","N/A","*","N/A","*","N/A","*","N/A","N/A","N/A","N/A"
"Derby School District","=""0370011""","Bradley School","=""0370611""",13,3.7,"*","*",9,2.3,11,3.0,12,3.5
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""",62,16.9,82,22.4,75,19.0,79,19.7,54,15.2
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",28,8.3,59,15.9,75,21.1,73,21.3,67,20.8
"Derby School District","=""0370011""","Irving School","=""0370411""",23,5.3,18,4.2,27,7.1,27,7.8,19,5.7
"Derby School District","=""0370011""","Little Raiders University","=""0370111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",8,3.3,"*","*","*","*","N/A","N/A","N/A","N/A"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",13,4.9,21,7.7,22,8.5,29,11.2,42,15.8
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*","*","*",7,3.3,7,3.3,11,5.5
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","N/A","N/A","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*","*","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",25,6.1,"N/A","N/A","N/A","N/A","*","*",13,4.0
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",18,3.6,"N/A","N/A","N/A","N/A",21,4.6,10,2.3
"East Hampton School District","=""0420011""","Center School","=""0420311""","*","*","*","*",7,2.3,"N/A","N/A","*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",56,10.3,31,6.0,38,7.3,27,5.4,38,7.3
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",15,3.2,18,4.0,22,5.2,16,3.7,20,4.6
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","N/A","N/A","*","*","*","*","*","*","N/A","N/A"
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","N/A","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",34,11.7,28,9.4,25,8.5,8,2.8,16,4.9
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",17,9.2,9,4.8,"*","*",12,5.9,26,13.7
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",22,5.3,22,5.7,23,6.3,31,8.8,14,3.8
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",40,10.0,35,8.9,45,11.0,43,11.7,17,5.2
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",13,4.2,29,5.8,18,3.4,16,2.9,11,2.2
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",694,39.2,548,32.8,629,36.4,631,36.2,501,29.6
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",382,35.1,326,30.5,301,26.8,272,23.1,211,18.6
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",21,5.8,15,4.8,14,4.2,8,2.4,"*","*"
"East Hartford School District","=""0430011""","Hartford Detention Center","=""3480315""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",22,7.5,22,7.3,11,3.3,12,3.6,"*","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",48,14.0,21,6.8,12,4.0,12,4.1,"*","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",84,15.8,83,16.2,48,9.5,34,6.9,17,3.6
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",19,6.6,6,2.1,11,3.7,"*","*",9,3.2
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",78,40.6,74,34.9,64,44.8,32,25.0,30,28.8
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",123,31.1,70,22.9,41,16.4,20,14.1,19,9.5
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",13,4.4,17,6.1,15,5.6,21,8.0,25,9.7
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","*","*","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",8,2.5,"*","*","*","*","N/A","N/A","*","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",213,23.7,165,18.2,115,12.8,86,9.6,126,14.2
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",127,19.4,85,14.2,96,16.7,79,13.4,93,15.6
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"East Haven School District","=""0440011""","Pathways","=""0449011""",9,19.1,"*","*","*","*","N/A","N/A","N/A","N/A"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","N/A","N/A","N/A","N/A","*","*","*","*",6,23.1
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",59,5.1,33,2.9,35,3.3,30,2.9,39,3.8
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",53,6.2,54,6.2,39,4.4,59,6.9,40,4.7
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","N/A","N/A","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"East Lyme School District","=""0450011""","Post High School Transition Program","=""0450511""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",16,3.0,7,1.4,16,3.1,"*","*",6,1.6
