district,school,special_education_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Hartford School District,Classical Magnet School,Non-Special Education,98.7,95.3,95.0,92.0,95.9,0646411,Classical Magnet School,Hartford School District
Hartford School District,Classical Magnet School,Special Education,*,*,*,*,*,0646411,Classical Magnet School,Hartford School District
Hartford School District,Culinary Arts Academy,Non-Special Education,67.6,64.8,64.0,69.1,52.5,,,
Hartford School District,Culinary Arts Academy,Special Education,*,*,45.5,*,*,,,
Hartford School District,Global Communications Academy,Non-Special Education,,,,,94.3,0643611,Global Communications Academy,Hartford School District
Hartford School District,Global Communications Academy,Special Education,,,,,*,0643611,Global Communications Academy,Hartford School District
Hartford School District,Great Path Academy High School at MCC,Non-Special Education,,95.1,91.3,,,,,
Hartford School District,Great Path Academy High School at MCC,Special Education,,*,*,,,,,
Hartford School District,Great Path Academy at MCC,Non-Special Education,,,,91.1,91.7,0647911,Great Path Academy at MCC,Hartford School District
Hartford School District,Great Path Academy at MCC,Special Education,,,,*,*,0647911,Great Path Academy at MCC,Hartford School District
Hartford School District,HPHS Academy of Engineering and Green Technology,Non-Special Education,66.7,69.0,66.2,74.3,61.3,,,
Hartford School District,HPHS Academy of Engineering and Green Technology,Special Education,41.9,44.0,*,*,37.0,,,
Hartford School District,HPHS Academy of Nursing and Health Science,Non-Special Education,72.1,71.3,68.7,77.8,67.7,,,
Hartford School District,HPHS Academy of Nursing and Health Science,Special Education,47.6,54.2,*,*,50.0,,,
Hartford School District,HPHS Law and Government Academy,Non-Special Education,47.7,72.1,75.2,64.2,70.4,0647411,HPHS Law and Government Academy,Hartford School District
Hartford School District,HPHS Law and Government Academy,Special Education,45.8,*,*,*,42.9,0647411,HPHS Law and Government Academy,Hartford School District
Hartford School District,Hartford Magnet Trinity College Academy,Non-Special Education,,,,96.9,93.4,0645411,Hartford Magnet Trinity College Academy,Hartford School District
Hartford School District,Hartford Magnet Trinity College Academy,Special Education,,,,*,*,0645411,Hartford Magnet Trinity College Academy,Hartford School District
Hartford School District,High School Inc.,Non-Special Education,,75.9,62.3,74.2,,,,
Hartford School District,High School Inc.,Special Education,,52.2,*,*,,,,
Hartford School District,"High School, Inc.",Non-Special Education,,,,,79.5,0647611,"High School, Inc.",Hartford School District
Hartford School District,"High School, Inc.",Special Education,,,,,*,0647611,"High School, Inc.",Hartford School District
Hartford School District,Journalism and Media Academy Magnet School,Non-Special Education,,72.9,77.2,73.9,*,0647711,Journalism and Media Academy Magnet School,Hartford School District
Hartford School District,Journalism and Media Academy Magnet School,Special Education,,*,*,*,*,0647711,Journalism and Media Academy Magnet School,Hartford School District
Hartford School District,Kinsella Magnet School of Performing Arts,Non-Special Education,,,,,93.5,0641111,Kinsella Magnet School of Performing Arts,Hartford School District
Hartford School District,Kinsella Magnet School of Performing Arts,Special Education,,,,,*,0641111,Kinsella Magnet School of Performing Arts,Hartford School District
Hartford School District,OPPortunity High School,Non-Special Education,47.4,55.0,30.8,,,0647811,OPPortunity High School,Hartford School District
Hartford School District,OPPortunity High School,Special Education,*,*,*,,,0647811,OPPortunity High School,Hartford School District
Hartford School District,Pathways Academy of Technology and Design,Non-Special Education,93.3,93.1,93.3,91.5,95.8,0646611,Pathways Academy of Technology and Design,Hartford School District
Hartford School District,Pathways Academy of Technology and Design,Special Education,*,*,*,*,*,0646611,Pathways Academy of Technology and Design,Hartford School District
Hartford School District,Sports and Medical Sciences Academy,Non-Special Education,91.5,94.2,91.6,94.3,97.6,0646511,Sports and Medical Sciences Academy,Hartford School District
Hartford School District,Sports and Medical Sciences Academy,Special Education,*,*,*,*,*,0646511,Sports and Medical Sciences Academy,Hartford School District
Hartford School District,University High School of Science and Engineering,Non-Special Education,,,,97.6,94.1,0646711,University High School of Science and Engineering,Hartford School District
Hartford School District,University High School of Science and Engineering,Special Education,,,,*,*,0646711,University High School of Science and Engineering,Hartford School District
Hartford School District,University High of Science and Engineering,Non-Special Education,90.2,97.7,94.6,,,,,
Hartford School District,University High of Science and Engineering,Special Education,*,*,*,,,,,
Jumoke Academy District,Jumoke Academy,Non-Special Education,,,,,*,2610113,Jumoke Academy,Jumoke Academy District
