drg,district_code,district,type,amount,year,pct,state_pct,school_code
C,0790011,Marlborough School District,Instructional Staff and Services,4870087.0,2010-11,0.67599162174,0.555348246945,0790011
H,0800011,Meriden School District,Instructional Staff and Services,63655208.0,2010-11,0.541456313426,0.555348246945,0800011
G,0830011,Middletown School District,Instructional Staff and Services,43680692.0,2010-11,0.574708190553,0.555348246945,0830011
D,0840011,Milford School District,Instructional Staff and Services,70493946.0,2010-11,0.660269309609,0.555348246945,0840011
B,0850011,Monroe School District,Instructional Staff and Services,32179219.0,2010-11,0.598649252285,0.555348246945,0850011
F,0860011,Montville School District,Instructional Staff and Services,22592931.0,2010-11,0.596306483307,0.555348246945,0860011
G,0880011,Naugatuck School District,Instructional Staff and Services,40178982.0,2010-11,0.624412279197,0.555348246945,0880011
,,"New Beginnings Inc., Family Academy District",Instructional Staff and Services,2116469.0,2010-11,0.543026047672,0.555348246945,
I,0890011,New Britain School District,Instructional Staff and Services,88762506.0,2010-11,0.61330812733,0.555348246945,0890011
A,0900011,New Canaan School District,Instructional Staff and Services,40573726.0,2010-11,0.541036987183,0.555348246945,0900011
B,0910011,New Fairfield School District,Instructional Staff and Services,22534714.0,2010-11,0.59892876636,0.555348246945,0910011
C,0920011,New Hartford School District,Instructional Staff and Services,5614361.0,2010-11,0.667706456868,0.555348246945,0920011
I,0930011,New Haven School District,Instructional Staff and Services,204911561.0,2010-11,0.594742677896,0.555348246945,0930011
I,0950011,New London School District,Instructional Staff and Services,24984574.0,2010-11,0.502195254794,0.555348246945,0950011
D,0960011,New Milford School District,Instructional Staff and Services,36591226.0,2010-11,0.591454580703,0.555348246945,0960011
D,0940011,Newington School District,Instructional Staff and Services,37749872.0,2010-11,0.580153218447,0.555348246945,0940011
B,0970011,Newtown School District,Instructional Staff and Services,38983824.0,2010-11,0.549845564688,0.555348246945,0970011
E,0980011,Norfolk School District,Instructional Staff and Services,1448494.0,2010-11,0.55905493273,0.555348246945,0980011
E,0990011,North Branford School District,Instructional Staff and Services,15740628.0,2010-11,0.515797013202,0.555348246945,0990011
F,1000011,North Canaan School District,Instructional Staff and Services,3077834.0,2010-11,0.565596569338,0.555348246945,1000011
D,1010011,North Haven School District,Instructional Staff and Services,24604863.0,2010-11,0.522813105014,0.555348246945,1010011
E,1020011,North Stonington School District,Instructional Staff and Services,7462586.0,2010-11,0.603540324723,0.555348246945,1020011
