district,school,english_learner_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Hartford School District,OPPortunity High School,Non-ELL,51.7,62.5,33.9,,,0647811,OPPortunity High School,Hartford School District
Hartford School District,Pathways Academy of Technology and Design,ELL,*,*,*,*,*,0646611,Pathways Academy of Technology and Design,Hartford School District
Hartford School District,Pathways Academy of Technology and Design,Non-ELL,92.9,91.9,90.1,89.2,96.5,0646611,Pathways Academy of Technology and Design,Hartford School District
Hartford School District,Sports and Medical Sciences Academy,ELL,*,*,*,*,*,0646511,Sports and Medical Sciences Academy,Hartford School District
Hartford School District,Sports and Medical Sciences Academy,Non-ELL,92.8,94.0,91.9,92.0,97.6,0646511,Sports and Medical Sciences Academy,Hartford School District
Hartford School District,University High School of Science and Engineering,ELL,,,,*,*,0646711,University High School of Science and Engineering,Hartford School District
Hartford School District,University High School of Science and Engineering,Non-ELL,,,,97.8,93.3,0646711,University High School of Science and Engineering,Hartford School District
Hartford School District,University High of Science and Engineering,ELL,*,*,*,,,,,
Hartford School District,University High of Science and Engineering,Non-ELL,89.3,96.8,92.1,,,,,
Jumoke Academy District,Jumoke Academy,Non-ELL,,,,,*,2610113,Jumoke Academy,Jumoke Academy District
Killingly School District,Killingly High School,ELL,*,*,*,*,*,0696111,Killingly High School,Killingly School District
Killingly School District,Killingly High School,Non-ELL,*,*,*,*,*,0696111,Killingly High School,Killingly School District
Learn,Connecticut River Academy,ELL,,*,*,,,2456014,Connecticut River Academy,Learn
Learn,Connecticut River Academy,Non-ELL,,89.3,92.7,92.9,90.8,2456014,Connecticut River Academy,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,ELL,,,*,*,,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,Non-ELL,,*,95.7,88.1,98.6,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Three Rivers Middle College Magnet School,ELL,,*,,,*,2456214,Three Rivers Middle College Magnet School,Learn
Learn,Three Rivers Middle College Magnet School,Non-ELL,,*,90.6,*,*,2456214,Three Rivers Middle College Magnet School,Learn
Lebanon School District,Lyman Memorial High School,ELL,,*,,,,0716211,Lyman Memorial High School,Lebanon School District
Lebanon School District,Lyman Memorial High School,Non-ELL,89.8,*,94.2,96.7,*,0716211,Lyman Memorial High School,Lebanon School District
Ledyard School District,Ledyard High School,ELL,*,,*,*,*,0726111,Ledyard High School,Ledyard School District
Ledyard School District,Ledyard High School,Non-ELL,*,92.4,*,*,*,0726111,Ledyard High School,Ledyard School District
Lisbon School District,Community Connection - The Big Picture High School,Non-ELL,*,*,,,,0736011,Community Connection - The Big Picture High School,Lisbon School District
