"school_code","district_code","district","school","grade","2011_12","2012_13","2013_14","2014_15","2015_16"
"0090111","0090011","Bethel School District","Frank A. Berry School","Grade   3","*","*","*","6.0","*"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Grade   4","*","4.8","16.9","*","13.6"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Grade   5","3.8","6.2","13.0","*","14.4"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","Grade   7","*","","","",""
"0116111","0110011","Bloomfield School District","Bloomfield High School","Grade   9","7.9","12.9","9.9","15.5","11.5"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Grade 10","8.7","6.8","6.7","7.1","9.6"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Grade 11","14.2","9.2","9.3","7.0","9.5"
"0116111","0110011","Bloomfield School District","Bloomfield High School","Grade 12","9.9","5.1","5.5","11.2","5.1"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Grade   5","*","*","*","*","*"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","Grade   6","*","*","*","*","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Grade   7","7.7","5.7","6.5","6.7","*"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","Grade   8","10.8","6.6","8.3","7.3","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Grade   6","","*","0.0","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Grade   7","","*","*","17.6","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Grade   8","","","*","*","18.8"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Grade   9","","*","21.4","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Grade 10","","24.1","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Grade 11","","*","*","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Grade 12","","21.9","*","0.0","*"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","Kindergarten","9.8","","","",""
"0110311","0110011","Bloomfield School District","J. P. Vincent School","Grade   1","8.4","","","",""
"0110311","0110011","Bloomfield School District","J. P. Vincent School","Grade   2","5.0","","","",""
"0110611","0110011","Bloomfield School District","Laurel School","Kindergarten","","10.3","*","7.7","10.1"
"0110611","0110011","Bloomfield School District","Laurel School","Grade   1","","5.8","5.1","9.4","4.9"
"0110611","0110011","Bloomfield School District","Laurel School","Grade   2","","6.3","*","4.7","14.2"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Grade   9","","","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Grade 10","","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Grade 11","","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Grade 12","","*","*","*","*"
