"category","fte","school_id","year"
"Library/Media: Specialists (Certified) ",0,"0800511","201516"
"Support Staff ",0,"0800511","201516"
"Instructional Specialists Who Support Teachers ",3.1,"0800511","201516"
"Counselors, Social Workers and School Psychologists ",2,"0800511","201516"
"School Nurses ",1,"0800511","201516"
"Other Staff Providing Non-Instructional Services/Support ",20.5,"0800511","201516"
"General Education: Teachers and Instructors ",32.6,"0800711","201314"
"General Education: Paraprofessional Instructional Assistants ",6,"0800711","201314"
"Special Education: Teachers and Instructors ",4.2,"0800711","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10,"0800711","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0800711","201314"
"Library/Media: Specialists (Certified) ",0.2,"0800711","201314"
"Support Staff ",0,"0800711","201314"
"Instructional Specialists Who Support Teachers ",2.1,"0800711","201314"
"Counselors, Social Workers and School Psychologists ",2,"0800711","201314"
"School Nurses ",1,"0800711","201314"
"Other Staff Providing Non-Instructional Services/Support ",10,"0800711","201314"
"General Education: Teachers and Instructors ",35.3,"0800711","201415"
"General Education: Paraprofessional Instructional Assistants ",6,"0800711","201415"
"Special Education: Teachers and Instructors ",5.3,"0800711","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11,"0800711","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0800711","201415"
"Library/Media: Specialists (Certified) ",0,"0800711","201415"
"Support Staff ",0,"0800711","201415"
"Instructional Specialists Who Support Teachers ",1.1,"0800711","201415"
"Counselors, Social Workers and School Psychologists ",2,"0800711","201415"
"School Nurses ",1,"0800711","201415"
"Other Staff Providing Non-Instructional Services/Support ",12,"0800711","201415"
"General Education: Teachers and Instructors ",35,"0800711","201516"
"General Education: Paraprofessional Instructional Assistants ",5,"0800711","201516"
"Special Education: Teachers and Instructors ",5.3,"0800711","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11,"0800711","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0800711","201516"
"Library/Media: Specialists (Certified) ",0,"0800711","201516"
"Support Staff ",0,"0800711","201516"
"Instructional Specialists Who Support Teachers ",1.1,"0800711","201516"
"Counselors, Social Workers and School Psychologists ",2,"0800711","201516"
"School Nurses ",1,"0800711","201516"
"Other Staff Providing Non-Instructional Services/Support ",10,"0800711","201516"
"General Education: Teachers and Instructors ",27.7,"0800811","201314"
"General Education: Paraprofessional Instructional Assistants ",3,"0800811","201314"
"Special Education: Teachers and Instructors ",8,"0800811","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",16,"0800811","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0800811","201314"
"Library/Media: Specialists (Certified) ",0.1,"0800811","201314"
"Support Staff ",0,"0800811","201314"
"Instructional Specialists Who Support Teachers ",4.1,"0800811","201314"
"Counselors, Social Workers and School Psychologists ",2,"0800811","201314"
"School Nurses ",1,"0800811","201314"
"Other Staff Providing Non-Instructional Services/Support ",8.5,"0800811","201314"
"General Education: Teachers and Instructors ",29.1,"0800811","201415"
"General Education: Paraprofessional Instructional Assistants ",4,"0800811","201415"
"Special Education: Teachers and Instructors ",9.1,"0800811","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",19,"0800811","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0800811","201415"
"Library/Media: Specialists (Certified) ",0,"0800811","201415"
"Support Staff ",0,"0800811","201415"
"Instructional Specialists Who Support Teachers ",6.6,"0800811","201415"
"Counselors, Social Workers and School Psychologists ",2,"0800811","201415"
"School Nurses ",1,"0800811","201415"
"Other Staff Providing Non-Instructional Services/Support ",9.5,"0800811","201415"
"General Education: Teachers and Instructors ",25.9,"0800811","201516"
"General Education: Paraprofessional Instructional Assistants ",4,"0800811","201516"
"Special Education: Teachers and Instructors ",8.9,"0800811","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",17,"0800811","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2.2,"0800811","201516"
"Library/Media: Specialists (Certified) ",0,"0800811","201516"
"Support Staff ",0,"0800811","201516"
"Instructional Specialists Who Support Teachers ",6.1,"0800811","201516"
"Counselors, Social Workers and School Psychologists ",2,"0800811","201516"
"School Nurses ",1,"0800811","201516"
"Other Staff Providing Non-Instructional Services/Support ",9.5,"0800811","201516"
"General Education: Teachers and Instructors ",26.3,"0801011","201314"
"General Education: Paraprofessional Instructional Assistants ",8,"0801011","201314"
"Special Education: Teachers and Instructors ",3,"0801011","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10,"0801011","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0801011","201314"
"Library/Media: Specialists (Certified) ",0.1,"0801011","201314"
"Support Staff ",0,"0801011","201314"
"Instructional Specialists Who Support Teachers ",2,"0801011","201314"
"Counselors, Social Workers and School Psychologists ",2,"0801011","201314"
"School Nurses ",1,"0801011","201314"
"Other Staff Providing Non-Instructional Services/Support ",7.7,"0801011","201314"
"General Education: Teachers and Instructors ",24.6,"0801011","201415"
"General Education: Paraprofessional Instructional Assistants ",8,"0801011","201415"
"Special Education: Teachers and Instructors ",3.1,"0801011","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10,"0801011","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0801011","201415"
"Library/Media: Specialists (Certified) ",0,"0801011","201415"
"Support Staff ",0,"0801011","201415"
"Instructional Specialists Who Support Teachers ",1,"0801011","201415"
"Counselors, Social Workers and School Psychologists ",2,"0801011","201415"
"School Nurses ",1,"0801011","201415"
"Other Staff Providing Non-Instructional Services/Support ",8.5,"0801011","201415"
"General Education: Teachers and Instructors ",25.5,"0801011","201516"
"General Education: Paraprofessional Instructional Assistants ",8,"0801011","201516"
"Special Education: Teachers and Instructors ",3.1,"0801011","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10,"0801011","201516"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0801011","201516"
"Library/Media: Specialists (Certified) ",0,"0801011","201516"
"Support Staff ",0,"0801011","201516"
"Instructional Specialists Who Support Teachers ",1,"0801011","201516"
"Counselors, Social Workers and School Psychologists ",2,"0801011","201516"
"School Nurses ",1,"0801011","201516"
"Other Staff Providing Non-Instructional Services/Support ",6,"0801011","201516"
"General Education: Teachers and Instructors ",33.4,"0801111","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"0801111","201314"
"Special Education: Teachers and Instructors ",5.1,"0801111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11,"0801111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0801111","201314"
"Library/Media: Specialists (Certified) ",0.2,"0801111","201314"
"Support Staff ",0,"0801111","201314"
"Instructional Specialists Who Support Teachers ",1.9,"0801111","201314"
"Counselors, Social Workers and School Psychologists ",2,"0801111","201314"
"School Nurses ",1,"0801111","201314"
"Other Staff Providing Non-Instructional Services/Support ",10.8,"0801111","201314"
"General Education: Teachers and Instructors ",34.1,"0801111","201415"
"General Education: Paraprofessional Instructional Assistants ",0,"0801111","201415"
"Special Education: Teachers and Instructors ",5.2,"0801111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",12,"0801111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0801111","201415"
"Library/Media: Specialists (Certified) ",0,"0801111","201415"
"Support Staff ",0,"0801111","201415"
"Instructional Specialists Who Support Teachers ",0.9,"0801111","201415"
"Counselors, Social Workers and School Psychologists ",2,"0801111","201415"
"School Nurses ",2,"0801111","201415"
"Other Staff Providing Non-Instructional Services/Support ",11,"0801111","201415"
"General Education: Teachers and Instructors ",35.1,"0801111","201516"
"General Education: Paraprofessional Instructional Assistants ",0,"0801111","201516"
"Special Education: Teachers and Instructors ",5.2,"0801111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11,"0801111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0801111","201516"
"Library/Media: Specialists (Certified) ",0,"0801111","201516"
"Support Staff ",0,"0801111","201516"
"Instructional Specialists Who Support Teachers ",0.9,"0801111","201516"
"Counselors, Social Workers and School Psychologists ",2,"0801111","201516"
"School Nurses ",1.5,"0801111","201516"
"Other Staff Providing Non-Instructional Services/Support ",10,"0801111","201516"
"General Education: Teachers and Instructors ",45.7,"0805211","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"0805211","201314"
"Special Education: Teachers and Instructors ",9.3,"0805211","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",7,"0805211","201314"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0805211","201314"
"Library/Media: Specialists (Certified) ",0,"0805211","201314"
"Support Staff ",1,"0805211","201314"
"Instructional Specialists Who Support Teachers ",1.8,"0805211","201314"
"Counselors, Social Workers and School Psychologists ",5.5,"0805211","201314"
"School Nurses ",1,"0805211","201314"
"Other Staff Providing Non-Instructional Services/Support ",16,"0805211","201314"
"General Education: Teachers and Instructors ",45.1,"0805211","201415"
"General Education: Paraprofessional Instructional Assistants ",1,"0805211","201415"
"Special Education: Teachers and Instructors ",7.9,"0805211","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5,"0805211","201415"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0805211","201415"
"Library/Media: Specialists (Certified) ",0,"0805211","201415"
"Support Staff ",1,"0805211","201415"
"Instructional Specialists Who Support Teachers ",1.8,"0805211","201415"
"Counselors, Social Workers and School Psychologists ",4.5,"0805211","201415"
"School Nurses ",1,"0805211","201415"
"Other Staff Providing Non-Instructional Services/Support ",17,"0805211","201415"
"General Education: Teachers and Instructors ",46.6,"0805211","201516"
"General Education: Paraprofessional Instructional Assistants ",0,"0805211","201516"
"Special Education: Teachers and Instructors ",8,"0805211","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",0,"0805211","201516"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0805211","201516"
"Library/Media: Specialists (Certified) ",0,"0805211","201516"
"Support Staff ",1,"0805211","201516"
"Instructional Specialists Who Support Teachers ",1.8,"0805211","201516"
