"school_id","year","grades_served"
"0642811","201516","PK-3"
"0643011","201314","PK-5"
"0643011","201415","PK-5"
"0643011","201516","PK-5"
"0643211","201314","PK-5"
"0643211","201415","PK-5"
"0643211","201516","PK-5"
"0643311","201314","PK-8"
"0643311","201415","PK-8"
"0643311","201516","PK-8"
"0643511","201314","PK-7"
"0643511","201415","PK-8"
"0643511","201516","PK-8"
"0643611","201314","K-10"
"0643611","201415","K-11"
"0643611","201516","K-12"
"0643711","201314","PK-6"
"0643711","201415","PK-7"
"0643711","201516","PK-8"
"0643811","201314","4-5"
"0643811","201415","4-6"
"0643811","201516","4-7"
"0643911","201415","11-12"
"0643911","201516","11-12"
"0644011","201314","4-10"
"0644011","201415","4-10"
"0644011","201516","4-10"
"0645411","201314","6-11"
"0645411","201415","6-12"
"0645411","201516","6-12"
"0646011","201314","9-12"
"0646011","201415","9-12"
"0646011","201516","9-12"
"0646411","201314","6-12"
"0646411","201415","6-12"
"0646411","201516","6-12"
"0646511","201314","6-12"
"0646511","201415","6-12"
"0646511","201516","6-12"
"0646611","201314","9-12"
"0646611","201415","9-12"
"0646611","201516","9-12"
"0646711","201314","9-12"
"0646711","201415","9-12"
"0646711","201516","9-12"
"0646911","201314","PK-12"
"0646911","201415","PK-12"
"0646911","201516","PK-12"
"0647111","201314","11-12"
"0647111","201415","11-12"
"0647111","201516","11-12"
"0647211","201314","9-12"
"0647211","201415","9-12"
"0647211","201516","9-12"
"0647411","201314","9-12"
"0647411","201415","9-12"
"0647411","201516","9-12"
"0647511","201314","9-12"
"0647511","201415","9-12"
"0647511","201516","9-12"
"0647611","201314","9-12"
"0647611","201415","9-12"
