"CT School Day SAT, 2015-16"
"All Districts, All Subjects, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Math",619,208,33.6,"*","*",125,20.2,"*","*","*","*",466
"Darien School District","=""0350011""","Darien High School","=""0356111""","ELA",310,6,1.9,10,3.2,130,41.9,164,52.9,294,94.8,619
"Darien School District","=""0350011""","Darien High School","=""0356111""","Math",310,7,2.3,43,13.9,117,37.7,143,46.1,260,83.9,626
"Derby School District","=""0370011""","Derby High School","=""0376111""","ELA",86,30,34.9,29,33.7,"*","*","*","*",27,31.4,446
"Derby School District","=""0370011""","Derby High School","=""0376111""","Math",86,43,50.0,30,34.9,13,15.1,0,0.0,13,15.1,431
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","ELA",78,10,12.8,8,10.3,47,60.3,13,16.7,60,76.9,532
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Math",78,20,25.6,37,47.4,"*","*","*","*",21,26.9,481
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","ELA",50,"*","*","*","*",32,64.0,10,20.0,42,84.0,551
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Math",50,"*","*",28,56.0,13,26.0,"*","*","*","*",522
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","ELA",366,116,31.7,98,26.8,136,37.2,16,4.4,152,41.5,463
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Math",366,129,35.2,165,45.1,64,17.5,8,2.2,72,19.7,453
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","ELA",25,21,84.0,"*","*","*","*",0,0.0,"*","*",380
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Math",25,17,68.0,8,32.0,0,0.0,0,0.0,0,0.0,380
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","ELA",6,"*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","Math",6,"*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","ELA",250,"*","*","*","*","*","*","*","*","*","*",577
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Math",250,"*","*","*","*","*","*","*","*","*","*",555
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","ELA",65,10,15.4,14,21.5,35,53.8,6,9.2,41,63.1,501
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Math",65,"*","*",31,47.7,18,27.7,"*","*","*","*",477
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","ELA",30,"*","*","*","*","*","*","*","*","*","*",522
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Math",30,"*","*",16,53.3,"*","*",0,0.0,"*","*",460
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","ELA",6,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Math",6,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","ELA",36,12,33.3,"*","*",16,44.4,"*","*","*","*",472
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Math",36,21,58.3,"*","*","*","*",0,0.0,"*","*",416
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
