"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Free/Reduced Price Meal Eligibility ("

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",10,"N",63,63,100.0,63,0,0.0,"*","*",23,36.5,23,36.5,"*","*","*","*",279
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",10,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",05,"N",23,23,100.0,23,0,0.0,0,0.0,"*","*",14,60.9,"*","*","*","*",281
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",08,"N",19,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",10,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",05,"F",51,51,100.0,51,"*","*","*","*","*","*","*","*","*","*","*","*",244
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",05,"N",163,162,99.4,162,"*","*","*","*",30,18.5,82,50.6,34,21.0,116,71.6,268
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",05,"R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",08,"F",42,41,97.6,41,"*","*","*","*","*","*","*","*","*","*","*","*",243
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",08,"N",186,185,99.5,185,10,5.4,11,5.9,25,13.5,99,53.5,40,21.6,139,75.1,270
