"Student Counts by School and Gender"
"All Districts, All Schools"
"2007-08"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",145,138,283
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",271,280,551
"Explorations District","=""2720013""","Explorations","=""2726113""",47,39,86
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",218,227,445
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",180,160,340
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",33,88,121
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",720,660,1380
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",637,594,1231
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",299,298,597
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",191,167,358
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",167,186,353
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",214,248,462
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",224,241,465
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",231,264,495
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",250,269,519
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",225,248,473
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",442,445,887
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",210,243,453
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",233,227,460
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",373,364,737
"Farmington School District","=""0520011""","East Farms School","=""0520411""",200,230,430
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",21,36,57
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",670,719,1389
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",328,324,652
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",163,167,330
"Farmington School District","=""0520011""","Union School","=""0520111""",143,155,298
"Farmington School District","=""0520011""","West District School","=""0520311""",169,181,350
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",315,372,687
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",112,121,233
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",299,276,575
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",172,185,357
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",277,274,551
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",1036,1029,2065
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",275,250,525
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",258,284,542
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",232,249,481
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",338,337,675
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",529,541,1070
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",229,268,497
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",333,416,749
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",192,182,374
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",173,190,363
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",172,172,344
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",330,383,713
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",203,204,407
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",341,384,725
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",162,182,344
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",1292,1401,2693
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",179,198,377
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",185,187,372
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",154,173,327
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",116,113,229
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",242,212,454
"Greenwich School District","=""0570011""","North Street School","=""0570811""",235,280,515
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",237,217,454
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",144,188,332
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",215,284,499
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",255,272,527
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",438,468,906
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",414,378,792
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",206,233,439
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",183,193,376
