"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, All Students"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Rocky Hill School District","=""1190011""","West Hill School","=""1190511""",05,69,69,100.0,69,0,0.0,"*","*","*","*",26,37.7,33,47.8,59,85.5,291
"Rocky Hill School District","=""1190011""","Albert D. Griswold Middle School","=""1195111""",05,46,46,100.0,46,0,0.0,"*","*",14,30.4,19,41.3,"*","*","*","*",271
"Rocky Hill School District","=""1190011""","Albert D. Griswold Middle School","=""1195111""",08,193,192,99.5,192,9,4.7,10,5.2,22,11.5,86,44.8,65,33.9,151,78.6,278
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",10,177,176,99.4,176,13,7.4,10,5.7,53,30.1,35,19.9,65,36.9,100,56.8,276
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""",05,55,55,100.0,55,"*","*","*","*","*","*",24,43.6,"*","*","*","*",290
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""",08,36,36,100.0,36,"*","*","*","*","*","*",20,55.6,"*","*","*","*",268
"Salisbury School District","=""1220011""","Salisbury Central School","=""1220111""",05,23,23,100.0,23,0,0.0,"*","*","*","*",13,56.5,"*","*","*","*",277
"Salisbury School District","=""1220011""","Salisbury Central School","=""1220111""",08,28,28,100.0,28,"*","*",0,0.0,"*","*",15,53.6,"*","*","*","*",287
"Scotland School District","=""1230011""","Scotland Elementary School","=""1230111""",05,13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""","Bungay School","=""1240111""",05,79,79,100.0,79,"*","*","*","*",14,17.7,37,46.8,13,16.5,50,63.3,259
"Seymour School District","=""1240011""","Chatfield-LoPresti School","=""1240211""",05,95,95,100.0,95,"*","*","*","*",24,25.3,41,43.2,18,18.9,59,62.1,260
"Seymour School District","=""1240011""","Seymour Middle School","=""1245111""",08,189,188,99.5,188,20,10.6,21,11.2,37,19.7,90,47.9,20,10.6,110,58.5,252
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",10,155,152,98.1,152,16,10.5,14,9.2,55,36.2,37,24.3,30,19.7,67,44.1,254
"Sharon School District","=""1250011""","Sharon Center School","=""1250111""",05,20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Sharon School District","=""1250011""","Sharon Center School","=""1250111""",08,16,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Shelton School District","=""1260011""","Perry Hill Elementary School","=""1261111""",05,369,368,99.7,368,14,3.8,29,7.9,53,14.4,163,44.3,109,29.6,272,73.9,273
"Shelton School District","=""1260011""","Intermediate School","=""1265111""",08,453,451,99.6,451,29,6.4,34,7.5,61,13.5,217,48.1,110,24.4,327,72.5,269
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",10,351,341,97.2,340,16,4.7,30,8.8,103,30.3,103,30.3,88,25.9,191,56.2,267
"Sherman School District","=""1270011""","Sherman School","=""1270111""",05,"*","*","*","*","*","*","*","*",7,19.4,"*","*",8,22.2,"*","*","*"
"Sherman School District","=""1270011""","Sherman School","=""1270111""",08,37,37,100.0,37,"*","*","*","*","*","*",24,64.9,"*","*","*","*",269
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",05,22,22,100.0,22,"*","*","*","*",7,31.8,"*","*",0,0.0,"*","*",251
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",08,21,21,100.0,21,"*","*","*","*",9,42.9,"*","*","*","*","*","*",238
"Simsbury School District","=""1280011""","Central School","=""1280111""",05,57,57,100.0,57,"*","*","*","*","*","*",35,61.4,16,28.1,51,89.5,288
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""",05,36,36,100.0,36,0,0.0,0,0.0,"*","*","*","*",23,63.9,"*","*",312
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""",05,47,47,100.0,47,"*","*","*","*","*","*",23,48.9,17,36.2,40,85.1,291
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""",05,63,61,96.8,61,"*","*","*","*",9,14.8,27,44.3,21,34.4,48,78.7,284
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""",05,88,88,100.0,88,"*","*","*","*","*","*",40,45.5,40,45.5,80,90.9,296
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""",08,358,355,99.2,355,17,4.8,9,2.5,26,7.3,171,48.2,132,37.2,303,85.4,281
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",10,330,328,99.4,327,"*","*","*","*",38,11.6,61,18.7,216,66.1,277,84.7,308
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""",05,103,102,99.0,102,0,0.0,"*","*","*","*",44,43.1,44,43.1,88,86.3,291
"Somers School District","=""1290011""","Aspire","=""1290511""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""",08,115,114,99.1,114,"*","*","*","*",20,17.5,59,51.8,24,21.1,83,72.8,267
"Somers School District","=""1290011""","Somers High School","=""1296111""",10,116,116,100.0,116,"*","*","*","*",34,29.3,18,15.5,53,45.7,71,61.2,285
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""",05,76,74,97.4,74,0,0.0,"*","*",10,13.5,36,48.6,26,35.1,62,83.8,282
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""",05,76,76,100.0,76,"*","*","*","*",13,17.1,32,42.1,27,35.5,59,77.6,282
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""",05,47,46,97.9,46,"*","*","*","*","*","*",25,54.3,13,28.3,38,82.6,282
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""",05,60,59,98.3,59,"*","*","*","*",9,15.3,25,42.4,22,37.3,47,79.7,286
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""",05,61,61,100.0,61,"*","*","*","*",7,11.5,33,54.1,16,26.2,49,80.3,271
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""",08,343,342,99.7,342,10,2.9,19,5.6,35,10.2,170,49.7,108,31.6,278,81.3,279
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",10,328,324,98.8,324,"*","*","*","*",52,16.0,69,21.3,185,57.1,254,78.4,302
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""",08,303,302,99.7,302,18,6.0,10,3.3,38,12.6,193,63.9,43,14.2,236,78.1,265
"Southington School District","=""1310011""","Alta","=""1310111""",10,12,11,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""",05,70,70,100.0,70,"*","*","*","*",9,12.9,40,57.1,17,24.3,57,81.4,276
"Southington School District","=""1310011""","Language Based Classroom","=""1310411""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""",05,49,49,100.0,49,"*","*","*","*",7,14.3,24,49.0,13,26.5,37,75.5,270
"Southington School District","=""1310011""","South End Elementary School","=""1310711""",05,41,41,100.0,41,"*","*","*","*",11,26.8,23,56.1,"*","*","*","*",252
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""",05,57,56,98.2,56,0,0.0,"*","*","*","*",31,55.4,17,30.4,48,85.7,281
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""",05,86,86,100.0,86,"*","*","*","*",13,15.1,47,54.7,15,17.4,62,72.1,264
"Southington School District","=""1310011""","Therapeutic Educational Setting (TEP)","=""1311211""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""",05,54,53,98.1,53,"*","*","*","*","*","*",22,41.5,22,41.5,44,83.0,290
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""",05,67,66,98.5,66,"*","*","*","*",8,12.1,39,59.1,14,21.2,53,80.3,275
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""",05,121,120,99.2,120,8,6.7,8,6.7,11,9.2,54,45.0,39,32.5,93,77.5,274
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""",08,250,249,99.6,249,16,6.4,18,7.2,44,17.7,134,53.8,37,14.9,171,68.7,261
"Southington School District","=""1310011""","Southington High School","=""1316211""",10,520,511,98.3,511,12,2.3,37,7.2,123,24.1,123,24.1,216,42.3,339,66.3,284
"Sprague School District","=""1330011""","Sayles School","=""1330111""",05,35,35,100.0,35,"*","*","*","*","*","*",12,34.3,11,31.4,23,65.7,274
"Sprague School District","=""1330011""","Sayles School","=""1330111""",08,42,42,100.0,42,0,0.0,"*","*","*","*",27,64.3,9,21.4,36,85.7,270
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""",05,112,112,100.0,112,"*","*","*","*",26,23.2,60,53.6,12,10.7,72,64.3,256
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""",08,114,114,100.0,114,"*","*","*","*",20,17.5,58,50.9,29,25.4,87,76.3,272
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",10,89,85,95.5,85,"*","*","*","*",24,28.2,19,22.4,35,41.2,54,63.5,279
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",10,44,39,88.6,39,25,64.1,"*","*","*","*",0,0.0,0,0.0,0,0.0,184
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""",10,18,14,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""",05,61,61,100.0,61,"*","*",14,23.0,15,24.6,21,34.4,"*","*","*","*",240
"Stamford School District","=""1350011""","Newfield School","=""1350611""",05,79,79,100.0,79,"*","*","*","*",17,21.5,27,34.2,19,24.1,46,58.2,259
"Stamford School District","=""1350011""","Rogers International School","=""1350811""",05,89,89,100.0,89,6,6.7,7,7.9,15,16.9,45,50.6,16,18.0,61,68.5,262
"Stamford School District","=""1350011""","Rogers International School","=""1350811""",08,84,84,100.0,84,12,14.3,6,7.1,11,13.1,41,48.8,14,16.7,55,65.5,258
"Stamford School District","=""1350011""","Roxbury School","=""1350911""",05,98,98,100.0,98,10,10.2,18,18.4,28,28.6,33,33.7,9,9.2,42,42.9,238
"Stamford School District","=""1350011""","Springdale School","=""1351111""",05,90,89,98.9,89,12,13.5,8,9.0,27,30.3,35,39.3,7,7.9,42,47.2,242
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""",05,77,77,100.0,77,9,11.7,11,14.3,21,27.3,28,36.4,8,10.4,36,46.8,244
"Stamford School District","=""1350011""","Westover School","=""1351411""",05,97,97,100.0,97,12,12.4,13,13.4,26,26.8,33,34.0,13,13.4,46,47.4,246
"Stamford School District","=""1350011""","Northeast School","=""1351811""",05,112,111,99.1,111,18,16.2,12,10.8,29,26.1,41,36.9,11,9.9,52,46.8,237
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""",05,90,89,98.9,89,13,14.6,9,10.1,23,25.8,28,31.5,16,18.0,44,49.4,245
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""",05,94,94,100.0,94,6,6.4,16,17.0,21,22.3,33,35.1,18,19.1,51,54.3,255
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""",05,84,84,100.0,84,6,7.1,8,9.5,22,26.2,33,39.3,15,17.9,48,57.1,257
"Stamford School District","=""1350011""","Hart School","=""1352211""",05,93,93,100.0,93,9,9.7,7,7.5,15,16.1,31,33.3,31,33.3,62,66.7,270
"Stamford School District","=""1350011""","Dolan School","=""1355311""",08,181,177,97.8,177,31,17.5,16,9.0,26,14.7,77,43.5,27,15.3,104,58.8,250
"Stamford School District","=""1350011""","Turn of River School","=""1355511""",08,202,202,100.0,202,62,30.7,15,7.4,31,15.3,78,38.6,16,7.9,94,46.5,235
"Stamford School District","=""1350011""","Cloonan School","=""1355611""",08,181,177,97.8,177,36,20.3,15,8.5,33,18.6,70,39.5,23,13.0,93,52.5,244
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""",05,48,48,100.0,48,"*","*","*","*",12,25.0,25,52.1,"*","*","*","*",250
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""",08,198,196,99.0,196,12,6.1,18,9.2,25,12.8,90,45.9,51,26.0,141,71.9,268
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""",05,47,47,100.0,47,"*","*",12,25.5,9,19.1,19,40.4,"*","*","*","*",242
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""",08,259,254,98.1,254,52,20.5,25,9.8,51,20.1,102,40.2,24,9.4,126,49.6,243
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",10,416,406,97.6,406,94,23.2,75,18.5,140,34.5,54,13.3,43,10.6,97,23.9,230
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",10,512,494,96.5,492,112,22.8,83,16.9,133,27.0,81,16.5,83,16.9,164,33.3,237
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",10,161,158,98.1,157,15,9.6,19,12.1,51,32.5,30,19.1,42,26.8,72,45.9,258
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",05,50,49,98.0,49,"*","*","*","*",15,30.6,20,40.8,6,12.2,26,53.1,254
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",08,55,55,100.0,55,11,20.0,"*","*",13,23.6,23,41.8,"*","*","*","*",236
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""",05,61,61,100.0,61,"*","*","*","*",12,19.7,25,41.0,18,29.5,43,70.5,271
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""",08,72,72,100.0,72,"*","*","*","*",12,16.7,39,54.2,11,15.3,50,69.4,262
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""",05,93,91,97.8,91,"*","*","*","*",6,6.6,41,45.1,38,41.8,79,86.8,285
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""",08,105,104,99.0,104,"*","*","*","*",13,12.5,54,51.9,33,31.7,87,83.7,281
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",10,180,179,99.4,179,"*","*","*","*",55,30.7,48,26.8,59,33.0,107,59.8,275
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""",05,66,65,98.5,65,"*","*",8,12.3,10,15.4,37,56.9,9,13.8,46,70.8,261
"Stratford School District","=""1380011""","Chapel School","=""1380311""",05,81,80,98.8,80,"*","*",13,16.3,17,21.3,33,41.3,"*","*","*","*",236
"Stratford School District","=""1380011""","Franklin School","=""1380411""",05,31,31,100.0,31,"*","*","*","*",9,29.0,12,38.7,"*","*","*","*",247
"Stratford School District","=""1380011""","ALPHA","=""1380511""",10,12,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""",05,33,33,100.0,33,"*","*",10,30.3,"*","*",10,30.3,0,0.0,10,30.3,225
"Stratford School District","=""1380011""","Nichols School","=""1380911""",05,70,70,100.0,70,"*","*",13,18.6,15,21.4,29,41.4,"*","*","*","*",226
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""",05,86,84,97.7,84,"*","*",15,17.9,21,25.0,35,41.7,"*","*","*","*",250
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""",05,43,43,100.0,43,"*","*",8,18.6,"*","*",18,41.9,8,18.6,26,60.5,256
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""",05,103,102,99.0,102,6,5.9,7,6.9,20,19.6,46,45.1,23,22.5,69,67.6,263
"Stratford School District","=""1380011""","Middle School STEPS 7-8","=""1381911""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""",08,268,267,99.6,267,26,9.7,29,10.9,54,20.2,122,45.7,36,13.5,158,59.2,254
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""",08,267,265,99.3,265,51,19.2,37,14.0,61,23.0,103,38.9,13,4.9,116,43.8,238
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",10,238,233,97.9,233,26,11.2,30,12.9,89,38.2,53,22.7,35,15.0,88,37.8,248
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",10,262,253,96.6,252,9,3.6,35,13.9,98,38.9,60,23.8,50,19.8,110,43.7,257
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""",05,145,143,98.6,143,"*","*","*","*",30,21.0,68,47.6,28,19.6,96,67.1,266
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""",08,183,182,99.5,182,11,6.0,10,5.5,25,13.7,94,51.6,42,23.1,136,74.7,268
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",10,202,197,97.5,197,"*","*","*","*",43,21.8,47,23.9,95,48.2,142,72.1,290
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",08,49,49,100.0,49,18,36.7,14,28.6,11,22.4,6,12.2,0,0.0,6,12.2,211
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",10,45,45,100.0,45,14,31.1,13,28.9,12,26.7,6,13.3,0,0.0,6,13.3,211
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",08,89,89,100.0,89,6,6.7,13,14.6,24,27.0,40,44.9,6,6.7,46,51.7,248
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",10,81,80,98.8,80,19,23.8,15,18.8,22,27.5,10,12.5,14,17.5,24,30.0,235
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""",05,74,74,100.0,74,"*","*","*","*",9,12.2,40,54.1,17,23.0,57,77.0,270
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",08,70,70,100.0,70,"*","*","*","*",14,20.0,36,51.4,8,11.4,44,62.9,257
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",10,57,57,100.0,57,"*","*","*","*",23,40.4,14,24.6,11,19.3,25,43.9,256
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""",05,88,88,100.0,88,8,9.1,12,13.6,18,20.5,39,44.3,11,12.5,50,56.8,250
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""",08,77,77,100.0,77,"*","*","*","*",20,26.0,38,49.4,8,10.4,46,59.7,255
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",10,71,68,95.8,68,13,19.1,"*","*",32,47.1,10,14.7,"*","*","*","*",235
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""",05,182,182,100.0,182,"*","*","*","*",19,10.4,95,52.2,61,33.5,156,85.7,286
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""",08,236,236,100.0,236,9,3.8,7,3.0,22,9.3,144,61.0,54,22.9,198,83.9,275
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",10,214,214,100.0,214,6,2.8,11,5.1,44,20.6,64,29.9,89,41.6,153,71.5,286
"Torrington School District","=""1430011""","East School","=""1430111""",05,57,55,96.5,55,0,0.0,"*","*","*","*",26,47.3,18,32.7,44,80.0,282
"Torrington School District","=""1430011""","Forbes School","=""1430211""",05,67,67,100.0,67,"*","*","*","*",8,11.9,39,58.2,13,19.4,52,77.6,268
"Torrington School District","=""1430011""","Southwest School","=""1430811""",05,39,39,100.0,39,"*","*",6,15.4,"*","*",21,53.8,8,20.5,29,74.4,265
"Torrington School District","=""1430011""","Torringford School","=""1430911""",05,128,127,99.2,127,8,6.3,15,11.8,34,26.8,60,47.2,10,7.9,70,55.1,249
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""",05,66,66,100.0,66,7,10.6,10,15.2,15,22.7,27,40.9,7,10.6,34,51.5,243
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""",08,330,325,98.5,325,39,12.0,36,11.1,61,18.8,166,51.1,23,7.1,189,58.2,248
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",10,252,226,89.7,225,32,14.2,44,19.6,80,35.6,37,16.4,32,14.2,69,30.7,239
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""",08,41,36,87.8,36,17,47.2,11,30.6,"*","*","*","*",0,0.0,"*","*",207
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""",05,89,89,100.0,89,"*","*","*","*",6,6.7,42,47.2,38,42.7,80,89.9,291
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""",05,97,97,100.0,97,"*","*","*","*",13,13.4,40,41.2,37,38.1,77,79.4,278
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""",05,68,68,100.0,68,"*","*","*","*","*","*",26,38.2,34,50.0,60,88.2,295
"Trumbull School District","=""1440011""","REACH","=""1440511""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","REACH","=""1440511""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""",05,82,82,100.0,82,0,0.0,"*","*","*","*",23,28.0,51,62.2,74,90.2,301
"Trumbull School District","=""1440011""","Tashua School","=""1440911""",05,65,65,100.0,65,"*","*","*","*",7,10.8,26,40.0,25,38.5,51,78.5,283
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""",05,95,95,100.0,95,"*","*","*","*",7,7.4,48,50.5,35,36.8,83,87.4,285
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""",08,224,221,98.7,221,6,2.7,9,4.1,38,17.2,97,43.9,71,32.1,168,76.0,276
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""",08,235,234,99.6,234,10,4.3,8,3.4,27,11.5,118,50.4,71,30.3,189,80.8,277
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",10,556,549,98.7,549,8,1.5,14,2.6,107,19.5,122,22.2,298,54.3,420,76.5,298
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""",08,8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""",10,7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Virtual Academy","=""3470215""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""",08,8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""",10,14,13,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""",10,13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""",05,8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""",08,10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Northeast School","=""1460311""",05,41,41,100.0,41,"*","*","*","*",7,17.1,18,43.9,7,17.1,25,61.0,257
"Vernon School District","=""1460011""","Lake Street School","=""1460111""",05,33,33,100.0,33,"*","*","*","*",6,18.2,17,51.5,6,18.2,23,69.7,260
"Vernon School District","=""1460011""","Maple Street School","=""1460211""",05,31,31,100.0,31,"*","*","*","*",14,45.2,11,35.5,"*","*","*","*",243
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""",05,45,45,100.0,45,"*","*",9,20.0,11,24.4,16,35.6,"*","*","*","*",239
"Vernon School District","=""1460011""","Center Road School","=""1461411""",05,85,85,100.0,85,6,7.1,15,17.6,23,27.1,33,38.8,8,9.4,41,48.2,244
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""",08,203,202,99.5,202,29,14.4,32,15.8,31,15.3,99,49.0,11,5.4,110,54.5,245
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",10,199,196,98.5,195,22,11.3,38,19.5,66,33.8,35,17.9,34,17.4,69,35.4,245
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",05,"*","*","*","*","*","*",6,20.0,"*","*","*","*","*","*","*","*","*"
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",08,31,31,100.0,31,"*","*","*","*","*","*",24,77.4,"*","*","*","*",263
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""",05,96,96,100.0,96,6,6.3,13,13.5,16,16.7,48,50.0,13,13.5,61,63.5,256
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""",05,108,107,99.1,107,6,5.6,11,10.3,24,22.4,53,49.5,13,12.1,66,61.7,254
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""",05,120,120,100.0,120,"*","*","*","*",23,19.2,56,46.7,34,28.3,90,75.0,274
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""",05,124,124,100.0,124,"*","*","*","*",23,18.5,62,50.0,26,21.0,88,71.0,266
"Wallingford School District","=""1480011""","Dag Hammarskjold Middle School","=""1485211""",08,234,233,99.6,233,11,4.7,10,4.3,36,15.5,116,49.8,60,25.8,176,75.5,272
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""",08,237,232,97.9,232,15,6.5,11,4.7,44,19.0,123,53.0,39,16.8,162,69.8,264
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",10,267,264,98.9,264,7,2.7,15,5.7,99,37.5,74,28.0,69,26.1,143,54.2,271
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",10,194,193,99.5,193,11,5.7,20,10.4,60,31.1,52,26.9,50,25.9,102,52.8,263
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Hartford Detention Center","=""3480315""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
