"Student Counts by School and Year"
"All Districts, All Schools"
"2016-17"

"District","District Code","School","School Code","Count"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",726
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""",140
"Enfield School District","=""0490011""","EPS Integrated Pre-Kindergarten","=""0492211""",76
"Enfield School District","=""0490011""","EPS PK STEAM Academy","=""0491011""",50
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",325
"Enfield School District","=""0490011""","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",397
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",1530
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""",8
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",288
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",10
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",278
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",104
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",381
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",1126
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""",6
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",231
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""",8
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",399
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",368
"Explorations District","=""2720013""","Explorations","=""2726113""",92
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",413
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",337
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",127
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1495
"Fairfield School District","=""0510011""","Fairfield School/Community Partnership","=""0510511""",18
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1498
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",894
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",404
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",317
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",449
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",384
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",397
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",445
