"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Special Education Status (SWD)"

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Special Education Status (SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",08,"N",34,34,100.0,34,"*","*","*","*","*","*","*","*",0,0.0,"*","*",207
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",08,"Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",08,"N",38,38,100.0,38,"*","*","*","*","*","*","*","*",0,0.0,"*","*",234
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",08,"Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",05,"N",43,42,97.7,42,"*","*","*","*","*","*","*","*",0,0.0,"*","*",214
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",05,"Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",05,"N",74,74,100.0,74,"*","*","*","*","*","*","*","*","*","*","*","*",197
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",05,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",08,"N",40,40,100.0,40,"*","*","*","*","*","*","*","*",0,0.0,"*","*",213
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",08,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",10,"N",116,115,99.1,108,"*","*","*","*","*","*","*","*","*","*","*","*",230
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",10,"Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",05,"N",25,25,100.0,25,"*","*","*","*","*","*","*","*",0,0.0,"*","*",225
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",05,"Y",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",10,"N",123,118,95.9,117,"*","*","*","*","*","*","*","*","*","*","*","*",266
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",10,"Y",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",05,"N",78,77,98.7,77,"*","*","*","*","*","*","*","*",0,0.0,"*","*",181
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",05,"Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",08,"N",97,94,96.9,94,75,79.8,"*","*",9,9.6,"*","*",0,0.0,"*","*",184
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",08,"Y",21,20,95.2,20,"*","*","*","*",0,0.0,0,0.0,0,0.0,0,0.0,177
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
