"CT School Day SAT, 2015-16"
"All Districts, All Subjects, Gender"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Gender","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","ELA","Female",105,9,8.6,14,13.3,63,60.0,19,18.1,82,78.1,553
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","ELA","Male",86,6,7.0,14,16.3,48,55.8,18,20.9,66,76.7,548
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Math","Female",104,12,11.5,54,51.9,31,29.8,7,6.7,38,36.5,503
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Math","Male",86,11,12.8,30,34.9,37,43.0,8,9.3,45,52.3,527
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","ELA","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","ELA","Male",22,"*","*","*","*","*","*","*","*","*","*",438
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Math","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Math","Male",22,"*","*","*","*","*","*",0,0.0,"*","*",410
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","ELA","Female",85,37,43.5,33,38.8,15,17.6,0,0.0,15,17.6,428
