"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, English Learner Status (EL)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","ELA","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Math","N",151,151,100.0,151,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Math","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","ELA","N",39,39,100.0,39,"*","*","*","*",12,30.8,20,51.3,32,82.1
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Math","N",39,39,100.0,39,"*","*","*","*",15,38.5,17,43.6,32,82.1
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","ELA","N",487,486,99.8,486,120,24.7,137,28.2,128,26.3,101,20.8,229,47.1
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","ELA","Y",54,54,100.0,54,21,38.9,15,27.8,11,20.4,7,13.0,18,33.3
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Math","N",487,486,99.8,486,147,30.2,130,26.7,92,18.9,117,24.1,209,43.0
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Math","Y",54,54,100.0,54,20,37.0,16,29.6,10,18.5,8,14.8,18,33.3
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","ELA","N",283,282,99.6,282,161,57.1,"*","*",38,13.5,"*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","ELA","Y",29,29,100.0,29,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Math","N",283,282,99.6,282,206,73.0,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Math","Y",29,29,100.0,29,26,89.7,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","ELA","N",163,163,100.0,163,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","ELA","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Math","N",163,163,100.0,163,"*","*","*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Math","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","ELA","N",205,205,100.0,205,56,27.3,66,32.2,58,28.3,25,12.2,83,40.5
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","ELA","Y",48,48,100.0,48,33,68.8,9,18.8,6,12.5,0,0.0,6,12.5
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Math","N",205,205,100.0,205,90,43.9,80,39.0,"*","*",8,3.9,"*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Math","Y",48,48,100.0,48,39,81.3,6,12.5,"*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","ELA","N",649,645,99.4,645,330,51.2,173,26.8,"*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","ELA","Y",119,119,100.0,119,97,81.5,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Math","N",650,645,99.2,645,432,67.0,176,27.3,"*","*","*","*","*","*"
