district_code,district,school_code,school,grade,diff,drg,year
1000011,North Canaan School District,0000000,District,78.4657335458,-1.13869781413,F,2014-15
0120011,Bolton School District,0000000,District,85.5755682448,-2.25688877238,C,2014-15
0110011,Bloomfield School District,0000000,District,77.7639627394,-4.17847032204,G,2014-15
1160011,Putnam School District,0000000,District,71.6392555174,-1.63353893639,G,2014-15
0620011,Hamden School District,0000000,District,74.1863952632,-3.94917454463,G,2014-15
0090011,Bethel School District,0000000,District,86.8606477079,-3.98902235028,D,2014-15
0640011,Hartford School District,0000000,District,61.0152166336,-1.07769425106,I,2014-15
0070011,Berlin School District,0000000,District,83.8365452829,-2.54895898452,D,2014-15
1170011,Redding School District,0000000,District,89.2605597397,-7.80354525437,A,2014-15
0050011,Barkhamsted School District,0000000,District,82.9579281668,-9.49950386865,C,2014-15
0930011,New Haven School District,0000000,District,61.9680670906,2.28686766183,I,2014-15
0040011,Avon School District,0000000,District,90.3461349664,-6.35748532865,B,2014-15
0030011,Ashford School District,0000000,District,79.0156958244,-9.09156078221,E,2014-15
1010011,North Haven School District,0000000,District,77.3870482561,8.12524137888,D,2014-15
0020011,Ansonia School District,0000000,District,68.9903830998,-3.31095912988,H,2014-15
1030011,Norwalk School District,0000000,District,77.8903174737,-5.20428129804,H,2014-15
1180011,Ridgefield School District,0000000,District,89.628936236,-6.31821922197,A,2014-15
0080011,Bethany School District,0000000,District,80.1278904294,-3.00170856504,C,2014-15
0900011,New Canaan School District,0000000,District,93.153581377,-5.87846239265,A,2014-15
1070011,Orange School District,0000000,District,86.5281656253,-9.55987998249,B,2014-15
0590011,Groton School District,0000000,District,76.9200591452,-3.72793324413,G,2014-15
0170011,Bristol School District,0000000,District,76.9717949264,-4.12991089,G,2014-15
0860011,Montville School District,0000000,District,80.4742035356,-1.86545362356,F,2014-15
0850011,Monroe School District,0000000,District,89.2302012001,-6.37568920432,B,2014-15
1130011,Portland School District,0000000,District,86.3738276173,-6.08435048627,E,2014-15
0940011,Newington School District,0000000,District,85.3390156958,-7.97035552118,D,2014-15
0880011,Naugatuck School District,0000000,District,70.0312632567,-1.88477774801,G,2014-15
0990011,North Branford School District,0000000,District,79.8442121521,-0.324997448831,E,2014-15
0980011,Norfolk School District,0000000,District,84.216705411,-5.1748237376,E,2014-15
0580011,Griswold School District,0000000,District,78.4138955288,-2.14410737035,F,2014-15
0600011,Guilford School District,0000000,District,90.4265494989,-4.71242223885,B,2014-15
1120011,Pomfret School District,0000000,District,89.808633828,-16.70895532,C,2014-15
